URGENT CALL TO ACTION = a statement calling for immediate attention including an action needed to be taken immediately or information that needs to be disseminated immediately OR critical: being in or verging on a state of crisis or emergency OR urgently needed OR absolutely necessary. The next actionable step is to take the urgent action ASAP or distribute the knowledge ASAP.
a.	HAS TO BE/ HAVE TO BE
1)	“telomere-linked control of phenotypic variation is an important issue in malaria pathogenesis and <a better knowledge of the epigenetic factors controlling those is VITAL for understanding the disease and to develop new anti-parasite control strategies>.” [urgent call for better knowledge of the epigenetic factors controlling those (telomere-linked control of phenotypic variation) for understanding the disease and to develop new anti-parasite control strategies]
2)	“as described above, since surround suppression may involve contributions from horizontal and feedback inputs, <it is VITAL to know the interplay of excitation and inhibition in different domains of pc dendrites, which may shed light upon active dendritic processes involved in this phenomenon> (london and häusser,2005).” [urgent call to know the interplay of excitation and inhibition in different domains of pc dendrites, which may she light upon active dendritic processes involved in this phenomenon]
3)	“vr, VITAL registration.” [an acronym that stands for ‘vital registration’, not a statement that lays out a specific call to action that needs immediate attention]
4)	“dna methylation is also shown to be VITAL in the maintenance of x chromosome inactivation which is crucial for female embryos due to the presence of two x chromosomes [11].” [a mechanistic statement that dna methylation is crucial in the maintenance of x chromosome inactivation, not a statement that lays out a specific call to action that needs immediate attention]
5)	“EXAMPLE” [EXAMPLE]
6)
s.	EXAMPLE
1)	“EXAMPLE” [EXAMPLE]
2)	“EXAMPLE” [EXAMPLE]

